#Timestamp,Value,Quality Code,Timeseries Comment
01/09/2019 01:00:00,1.8,200,
01/10/2019 01:00:00,3.9,200,
01/11/2019 01:00:00,1.2,200,
01/12/2019 00:00:00,2.8,200,
01/01/2020 00:00:00,1.1,200,
01/02/2020 00:00:00,4.1,200,
01/03/2020 00:00:00,0.1,200,
01/04/2020 01:00:00,3.4,200,
01/05/2020 01:00:00,7.6,200,
01/06/2020 01:00:00,8.8,200,
01/07/2020 01:00:00,7.9,200,
01/08/2020 01:00:00,4.5,200,
01/09/2020 01:00:00,7.3,200,
01/10/2020 01:00:00,3.4,200,
01/11/2020 01:00:00,4.2,200,
01/12/2020 00:00:00,2.0,200,
01/01/2021 00:00:00,0.2,200,
01/02/2021 00:00:00,2.4,200,
01/03/2021 00:00:00,2.8,200,
01/04/2021 01:00:00,7.5,200,
01/05/2021 01:00:00,0.9,200,
01/06/2021 01:00:00,8.4,200,
01/07/2021 01:00:00,9.0,200,
01/08/2021 01:00:00,8.2,200,
01/09/2021 01:00:00,9.8,200,
01/10/2021 01:00:00,4.0,200,
01/11/2021 01:00:00,3.2,200,
01/12/2021 00:00:00,0.4,200,
01/01/2022 00:00:00,1.5,200,
01/02/2022 00:00:00,0.4,200,
01/03/2022 00:00:00,1.5,200,
01/04/2022 01:00:00,2.0,200,
01/05/2022 01:00:00,3.6,200,
01/06/2022 01:00:00,9.8,200,
01/07/2022 01:00:00,2.1,200,
01/08/2022 01:00:00,8.2,200,
01/09/2022 01:00:00,15.7,200,
01/10/2022 01:00:00,0.7,200,
01/11/2022 01:00:00,4.0,200,
01/12/2022 00:00:00,1.1,200,
01/01/2023 00:00:00,0.5,200,
01/02/2023 00:00:00,0.8,200,
01/03/2023 00:00:00,0.5,200,
01/04/2023 01:00:00,5.4,200,
01/05/2023 01:00:00,3.2,200,
01/06/2023 01:00:00,14.1,200,
01/07/2023 01:00:00,6.9,200,
01/08/2023 01:00:00,10.9,200,
01/09/2023 01:00:00,7.3,200,
01/10/2023 01:00:00,2.0,200,
01/11/2023 01:00:00,1.2,200,
01/12/2023 00:00:00,0.4,200,
01/01/2024 00:00:00,2.1,200,
01/02/2024 00:00:00,2.3,200,
01/03/2024 00:00:00,1.1,200,
01/04/2024 01:00:00,0.6,200,
01/05/2024 01:00:00,0.7,200,
01/06/2024 01:00:00,9.6,200,
01/07/2024 01:00:00,7.2,200,
01/08/2024 01:00:00,6.7,200,
01/09/2024 01:00:00,5.0,200,
01/10/2024 01:00:00,4.7,200,
01/11/2024 01:00:00,0.5,200,
01/12/2024 00:00:00,0.6,200,
01/01/2025 00:00:00,1.9,200,
01/02/2025 00:00:00,2.5,200,
01/03/2025 00:00:00,2.1,200,
01/04/2025 01:00:00,0.4,200,
01/05/2025 01:00:00,3.6,200,
01/06/2025 01:00:00,7.8,200,
01/07/2025 01:00:00,14.9,200,
01/08/2025 01:00:00,13.1,200,
01/09/2025 01:00:00,8.2,200,
