"Lake_ID","Year","SpeciesName","Fate","Weight","Report"
2,2020,"pikeperch","Released",1250,"Joint"
2,2020,"pikeperch","Released",1250,"Joint"
2,2020,"pikeperch","Harvested",2000,"Individual"
2,2020,"perch","Released",40,"Joint"
2,2020,"perch","Released",40,"Joint"
2,2020,"perch","Released",40,"Joint"
2,2020,"perch","Released",40,"Joint"
2,2020,"perch","Released",40,"Joint"
2,2020,"perch","Released",150,"Joint"
2,2020,"perch","Released",150,"Joint"
2,2020,"northern pike","Released",200,"Joint"
2,2020,"northern pike","Released",200,"Joint"
2,2020,"perch","Harvested",300,"Individual"
2,2020,"northern pike","Released",750,"Individual"
2,2020,"perch","Released",50,"Joint"
2,2020,"perch","Released",50,"Joint"
2,2020,"perch","Released",50,"Joint"
2,2020,"perch","Released",50,"Joint"
2,2020,"perch","Released",50,"Joint"
2,2020,"perch","Released",50,"Joint"
2,2020,"pikeperch","Released",750,"Individual"
2,2020,"perch","Harvested",300,"Individual"
2,2020,"northern pike","Harvested",500,"Individual"
2,2020,"northern pike","Released",500,"Joint"
2,2020,"northern pike","Released",500,"Joint"
2,2020,"pikeperch","Harvested",2500,"Individual"
2,2020,"pikeperch","Harvested",2500,"Individual"
2,2020,"northern pike","Released",916.666666666667,"Joint"
2,2020,"northern pike","Released",916.666666666667,"Joint"
2,2020,"northern pike","Released",916.666666666667,"Joint"
2,2020,"perch","Harvested",333.333333333333,"Joint"
2,2020,"perch","Harvested",333.333333333333,"Joint"
2,2020,"perch","Harvested",333.333333333333,"Joint"
2,2020,"silver bream","Harvested",250,"Joint"
2,2020,"silver bream","Harvested",250,"Joint"
2,2020,"silver bream","Released",250,"Joint"
2,2020,"silver bream","Released",250,"Joint"
2,2020,"silver bream","Released",250,"Joint"
2,2020,"silver bream","Released",250,"Joint"
2,2020,"silver bream","Released",250,"Joint"
2,2020,"northern pike","Released",300,"Individual"
2,2020,"pikeperch","Harvested",1500,"Individual"
2,2020,"perch","Harvested",175,"Joint"
2,2020,"perch","Harvested",175,"Joint"
2,2020,"perch","Harvested",175,"Joint"
2,2020,"perch","Harvested",175,"Joint"
2,2020,"perch","Harvested",175,"Joint"
2,2020,"perch","Harvested",175,"Joint"
2,2020,"perch","Harvested",175,"Joint"
2,2020,"perch","Harvested",175,"Joint"
2,2020,"perch","Harvested",175,"Joint"
2,2020,"perch","Harvested",175,"Joint"
2,2020,"northern pike","Released",2333.33333333333,"Joint"
2,2020,"northern pike","Released",2333.33333333333,"Joint"
2,2020,"northern pike","Released",2333.33333333333,"Joint"
2,2020,"northern pike","Released",2333.33333333333,"Joint"
2,2020,"northern pike","Released",2333.33333333333,"Joint"
2,2020,"northern pike","Released",2333.33333333333,"Joint"
2,2020,"pikeperch","Released",3500,"Individual"
2,2020,"northern pike","Released",2500,"Individual"
2,2020,"northern pike","Harvested",500,"Individual"
2,2020,"northern pike","Released",1400,"Joint"
2,2020,"northern pike","Released",1400,"Joint"
2,2020,"northern pike","Released",1400,"Joint"
2,2020,"northern pike","Released",1400,"Joint"
2,2020,"northern pike","Released",1400,"Joint"
2,2020,"northern pike","Released",1400,"Joint"
2,2020,"northern pike","Released",1400,"Joint"
2,2020,"northern pike","Released",1400,"Joint"
2,2020,"northern pike","Released",1400,"Joint"
2,2020,"northern pike","Released",1400,"Joint"
2,2020,"pikeperch","Released",3000,"Individual"
2,2020,"pikeperch","Harvested",2000,"Individual"
2,2020,"pikeperch","Harvested",1250,"Individual"
2,2020,"pikeperch","Released",1750,"Joint"
2,2020,"pikeperch","Released",1750,"Joint"
2,2020,"pikeperch","Released",1750,"Joint"
2,2020,"pikeperch","Released",1750,"Joint"
2,2020,"pikeperch","Released",875,"Joint"
2,2020,"pikeperch","Released",875,"Joint"
2,2020,"northern pike","Released",1333.33333333333,"Joint"
2,2020,"northern pike","Released",1333.33333333333,"Joint"
2,2020,"northern pike","Released",1333.33333333333,"Joint"
2,2020,"pikeperch","Released",1000,"Joint"
2,2020,"pikeperch","Released",1000,"Joint"
2,2020,"pikeperch","Released",375,"Joint"
2,2020,"pikeperch","Released",375,"Joint"
2,2020,"pikeperch","Released",375,"Joint"
2,2020,"pikeperch","Released",375,"Joint"
2,2020,"perch","Released",500,"Joint"
2,2020,"perch","Released",500,"Joint"
2,2020,"northern pike","Released",2500,"Individual"
2,2020,"northern pike","Released",600,"Joint"
2,2020,"northern pike","Released",600,"Joint"
2,2020,"northern pike","Released",600,"Joint"
2,2020,"northern pike","Released",600,"Joint"
2,2020,"northern pike","Released",600,"Joint"
2,2020,"perch","Released",375,"Joint"
2,2020,"perch","Released",375,"Joint"
2,2020,"perch","Released",375,"Joint"
2,2020,"perch","Released",375,"Joint"
2,2020,"northern pike","Released",1000,"Joint"
2,2020,"northern pike","Released",1000,"Joint"
2,2020,"northern pike","Released",1000,"Joint"
2,2020,"northern pike","Released",1000,"Joint"
2,2020,"northern pike","Released",875,"Joint"
2,2020,"northern pike","Released",875,"Joint"
2,2020,"northern pike","Released",875,"Joint"
2,2020,"northern pike","Released",875,"Joint"
2,2020,"northern pike","Released",4750,"Individual"
2,2020,"northern pike","Released",3500,"Individual"
2,2020,"northern pike","Released",3000,"Individual"
2,2020,"northern pike","Released",1500,"Joint"
2,2020,"northern pike","Released",1500,"Joint"
2,2020,"northern pike","Released",1500,"Joint"
2,2020,"northern pike","Released",1500,"Joint"
2,2020,"northern pike","Released",625,"Joint"
2,2020,"northern pike","Released",625,"Joint"
2,2020,"northern pike","Released",625,"Joint"
2,2020,"northern pike","Released",625,"Joint"
2,2020,"pikeperch","No Answer",6000,"Individual"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"northern pike","Released",615.384615384615,"Joint"
2,2020,"perch","Released",375,"Joint"
2,2020,"perch","Released",375,"Joint"
2,2020,"pikeperch","Harvested",2000,"Individual"
2,2020,"pikeperch","Released",1500,"Individual"
2,2020,"northern pike","Released",833.333333333333,"Joint"
2,2020,"northern pike","Released",833.333333333333,"Joint"
2,2020,"northern pike","Released",833.333333333333,"Joint"
2,2020,"northern pike","Released",4000,"Individual"
2,2020,"northern pike","Released",1000,"Joint"
2,2020,"northern pike","Released",1000,"Joint"
2,2020,"northern pike","Released",3000,"Individual"
2,2020,"northern pike","Released",4750,"Individual"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","Released",1538.46153846154,"Joint"
2,2019,"northern pike","No Answer",1100,"Joint"
2,2019,"northern pike","No Answer",1100,"Joint"
2,2019,"northern pike","No Answer",1100,"Joint"
2,2019,"northern pike","No Answer",1100,"Joint"
2,2019,"northern pike","No Answer",1100,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1153.84615384615,"Joint"
2,2019,"northern pike","Released",1000,"Individual"
2,2019,"pikeperch","Released",750,"Joint"
2,2019,"pikeperch","Released",750,"Joint"
2,2019,"pikeperch","Released",750,"Joint"
2,2019,"pikeperch","Released",750,"Joint"
2,2019,"perch","Released",375,"Joint"
2,2019,"perch","Released",375,"Joint"
2,2019,"perch","Released",375,"Joint"
2,2019,"perch","Released",375,"Joint"
2,2019,"northern pike","Released",500,"Individual"
2,2019,"northern pike","Released",300,"Individual"
2,2019,"northern pike","Released",1000,"Individual"
2,2019,"perch","Released",166.666666666667,"Joint"
2,2019,"perch","Released",166.666666666667,"Joint"
2,2019,"perch","Released",166.666666666667,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"northern pike","Released",875,"Joint"
2,2019,"northern pike","Released",875,"Joint"
2,2019,"northern pike","Released",875,"Joint"
2,2019,"northern pike","Released",875,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",2166.66666666667,"Joint"
2,2019,"northern pike","Released",2166.66666666667,"Joint"
2,2019,"northern pike","Released",2166.66666666667,"Joint"
2,2019,"pikeperch","Released",300,"Individual"
2,2019,"northern pike","Released",300,"Individual"
2,2019,"pikeperch","Released",1750,"Individual"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"northern pike","Released",500,"Individual"
2,2019,"northern pike","Released",1400,"Joint"
2,2019,"northern pike","Released",1400,"Joint"
2,2019,"northern pike","Released",1400,"Joint"
2,2019,"northern pike","Released",1400,"Joint"
2,2019,"northern pike","Released",1400,"Joint"
2,2019,"northern pike","Released",1500,"Individual"
2,2019,"pikeperch","Released",750,"Individual"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"perch","Released",250,"Joint"
2,2019,"northern pike","Released",2000,"Individual"
2,2019,"perch","Released",357.142857142857,"Joint"
2,2019,"perch","Released",357.142857142857,"Joint"
2,2019,"perch","Released",357.142857142857,"Joint"
2,2019,"perch","Released",357.142857142857,"Joint"
2,2019,"perch","Released",357.142857142857,"Joint"
2,2019,"perch","Released",357.142857142857,"Joint"
2,2019,"perch","Released",357.142857142857,"Joint"
2,2019,"northern pike","Released",1285.71428571429,"Joint"
2,2019,"northern pike","Released",1285.71428571429,"Joint"
2,2019,"northern pike","Released",1285.71428571429,"Joint"
2,2019,"northern pike","Released",1285.71428571429,"Joint"
2,2019,"northern pike","Released",1285.71428571429,"Joint"
2,2019,"northern pike","Released",1285.71428571429,"Joint"
2,2019,"northern pike","Released",1285.71428571429,"Joint"
2,2019,"northern pike","Harvested",2000,"Joint"
2,2019,"northern pike","Harvested",2000,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Released",185.714285714286,"Joint"
2,2019,"perch","Harvested",500,"Joint"
2,2019,"perch","Harvested",500,"Joint"
2,2019,"perch","Harvested",500,"Joint"
2,2019,"perch","Harvested",500,"Joint"
2,2019,"perch","Harvested",500,"Joint"
2,2019,"perch","Harvested",500,"Joint"
2,2019,"northern pike","Released",1250,"Individual"
2,2019,"perch","Harvested",1250,"Individual"
2,2019,"pikeperch","Harvested",2250,"Individual"
2,2019,"pikeperch","Harvested",3000,"Individual"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"northern pike","Released",300,"Individual"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",300,"Joint"
2,2019,"perch","Released",375,"Joint"
2,2019,"perch","Released",375,"Joint"
2,2019,"perch","Released",375,"Joint"
2,2019,"perch","Released",375,"Joint"
2,2019,"northern pike","Released",250,"Joint"
2,2019,"northern pike","Released",250,"Joint"
2,2019,"pikeperch","Harvested",1000,"Individual"
2,2019,"pikeperch","Released",150,"Joint"
2,2019,"pikeperch","Released",150,"Joint"
2,2019,"pikeperch","Harvested",1000,"Individual"
2,2019,"pikeperch","Released",750,"Individual"
2,2019,"pikeperch","Harvested",1250,"Individual"
2,2019,"perch","Released",156.25,"Joint"
2,2019,"perch","Released",156.25,"Joint"
2,2019,"perch","Released",156.25,"Joint"
2,2019,"perch","Released",156.25,"Joint"
2,2019,"perch","Released",156.25,"Joint"
2,2019,"perch","Released",156.25,"Joint"
2,2019,"perch","Released",156.25,"Joint"
2,2019,"perch","Released",156.25,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"northern pike","Released",1500,"Joint"
2,2019,"perch","Released",208.333333333333,"Joint"
2,2019,"perch","Released",208.333333333333,"Joint"
